date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:46	105150/105150	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2002:30:58%20GMT	https://template.dsngrid.com/exfolio/dark/creative.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/creative.html	(from )
05:43:47	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2000:43:48%20GMT	https://template.dsngrid.com/robots.txt		(from )
05:43:47	4082/4082	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202024%2017:31:38%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/logo-32x32.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/logo-32x32.png	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:48	881/881	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/plugins.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/plugins.css	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:48	49321/49321	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202024%2017:31:37%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/logo-192x192.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/logo-192x192.png	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:48	175344/175344	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Sep%202024%2002:00:00%20GMT	https://template.dsngrid.com/exfolio/dark/assets/css/style.css	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/css/style.css	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:49	63481/63481	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/logo-light.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/logo-light.png	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:50	133395/133395	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Sep%202024%2017:29:26%20GMT	https://template.dsngrid.com/exfolio/dark/assets/img/logo.png	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/assets/img/logo.png	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:50	158637/158637	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:06:14%20GMT	https://template.dsngrid.com/exfolio/dark/index.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/index.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:50	69656/69656	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:07:26%20GMT	https://template.dsngrid.com/exfolio/dark/corporate.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/corporate.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:50	119034/119034	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2015:46:14%20GMT	https://template.dsngrid.com/exfolio/dark/architecture.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/architecture.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:50	98127/98127	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:08:18%20GMT	https://template.dsngrid.com/exfolio/dark/photography.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/photography.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:51	103917/103917	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:07:52%20GMT	https://template.dsngrid.com/exfolio/dark/freelancer.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/freelancer.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:51	79785/79785	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2002:33:16%20GMT	https://template.dsngrid.com/exfolio/dark/personal.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/personal.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:51	49882/49882	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:12:02%20GMT	https://template.dsngrid.com/exfolio/dark/work.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:51	57741/57741	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:11:02%20GMT	https://template.dsngrid.com/exfolio/dark/work-3.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work-3.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:52	61499/61499	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2002:44:46%20GMT	https://template.dsngrid.com/exfolio/dark/work-5.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work-5.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:52	61501/61501	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2002:43:36%20GMT	https://template.dsngrid.com/exfolio/dark/work-4.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work-4.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:52	40002/40002	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2002:46:32%20GMT	https://template.dsngrid.com/exfolio/dark/work-hover.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work-hover.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:52	66997/66997	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:11:38%20GMT	https://template.dsngrid.com/exfolio/dark/work-horizontal-scroll.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work-horizontal-scroll.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:53	46255/46255	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:10:40%20GMT	https://template.dsngrid.com/exfolio/dark/showcase-wall.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/showcase-wall.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
05:43:53	46458/46458	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202024%2017:10:52%20GMT	https://template.dsngrid.com/exfolio/dark/work-2.html	E:/FalconXoft/WebProject/ship/template.dsngrid.com/exfolio/dark/work-2.html	(from https://template.dsngrid.com/exfolio/dark/creative.html)
